,carbs per g,calories per g,protein per gram,fat per g,name
198,0.0489,0.23,0,0.0086,"CAPERS,CANNED"
199,0,2.21,0.274,0.1241,"TURKEY,WING,SMOKED,CKD,W/SKN,BONE REMOVED"
200,0,1.73,0.2636,0.0675,"BEEF,CHUCK,CLOD RST,LN ONLY,TO 1/4\ FAT,ALL GRDS,CKD,RSTD"""
201,0.184,0.73,0,0.005,"ELDERBERRIES,RAW"
202,0.5064,2.92,0.2663,0.0548,"PARSLEY,DRIED"
203,0.2087,0.82,0.0065,0.0021,"RAMBUTAN,CND,SYRUP PK"
204,0.1092,0.53,0.0182,0.0034,"CEREALS,FARINA,ENR,CKD W/ H2O,WO/ SALT"
205,0.0741,2,0.1164,0.1352,POULTRY SALAD SNDWCH SPRD
206,0.1491,0.79,0,0.0017,"LIMA BNS,LRG,MATURE SEEDS,CND"
207,0.1138,1.36,0.01,0.0997,"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE"
208,0.035,5.64,0.012,0.614,"SALAD DRSNG,PEPPERCORN DRSNG,COMM,REG"
209,0.112,1.26,0,0.013,"MORNINGSTAR FARMS VEGGIE DOG,FRZ,UNPREP"
210,0,1.57,0,0.0502,"BEEF,CHUCK,MOCK TENDER STEAK,LN,0\ FAT,SEL,CKD,BRLD"""
211,0.761,3.97,0,0.111,"CEREALS RTE,KELLOGG'S KRAVE CHOC CRL"
212,0.0296,2.92,0.0217,0.3091,"CREAM,FLUID,LT WHIPPING"
213,0,1.44,0.2804,0.0357,"CHICKEN,BROILER,ROTISSERIE,BBQ,BREAST MEAT ONLY"
214,0.1102,0.46,0.0092,0.0044,"CHERRIES,SOUR,RED,FRZ,UNSWTND"
215,0,1.33,0.2139,0.046,"GAME MEAT,HORSE,RAW"
216,0.629,3.5,0.046,0.089,"SYRUPS,CHOC,FUDGE-TYPE"
217,0.137,0.62,0.02,0.004,"CEREALS,WHL WHEAT HOT NAT CRL,CKD W/ H2O,W/ SALT"
218,0,2.63,0.2621,0.1675,"BEEF,SHRT LOIN,PRTRHS STK,L & F,1/8\ F,SEL,CKD,GRILLED"""
219,0.021,3.34,0.2473,0.2501,"CHEESE,PAST PROCESS,SWISS"
220,0.7119,4.92,0.0433,0.2113,"CANDIES,MARS SNACKFOOD US,M&M'S MILK CHOC CANDIES"
221,0.034,1.27,0,0,"CHEESE,SWISS,NONFAT OR FAT FREE"
222,0,1.34,0.233,0.0387,"CHICKEN,CORNISH GAME HENS,MEAT ONLY,CKD,RSTD"
223,0,1.96,0.2815,0.0923,"BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN,0\ FAT,ALL GRDS,CKD,GRI"""
224,0.413,2.01,0.08,0.032,"BREAD,RED-CAL,OAT BRAN"
225,0,1.73,0,0.0608,"PORK,FRSH,LOIN,TOP LOIN (CHOPS),BNLESS,LN,CKD,BRLD"
226,0,1.72,0.2085,0.0925,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKN,RAW"
227,0.0719,0.46,0,0.0119,"HEALTHY REQUEST,CHICK W/ RICE,COND"
228,0.2,0.82,0,8e-04,"MOUNTAIN YAM,HAWAII,CKD,STMD,WO/SALT"
229,0.2525,0.97,0.0019,0.0013,"PEARS,CND,EX HVY SYRUP PK,SOL&LIQUIDS"
230,0,8.84,0,1,"OIL,GRAPESEED"
231,0.1572,0.61,0,0,"GRAPE DRINK,CANNED"
232,3e-04,2.86,0,0.1945,"BEEF,NZ,IMP,CUBE ROLL,LN & FAT,CKD,FAST RSTD"
233,0.7393,3.58,0.0777,0.0459,"POTATOES,SCALLPD,DRY MIX,UNPREP"
234,0.4554,2.13,0.0242,0.0226,"CHESTNUTS,EUROPEAN,RAW,UNPEELED"
235,0,1.91,0.2154,0.1165,"BEEF,LN,TP LN STEAK,BNLESS,LIP-ON,LN & FAT,1/8\ FAT,SEL,RAW"""
